City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Galle,LK,78.85,overcast clouds,6.04,80.22,Amangalla
20,Butaritari,KI,81.18,broken clouds,3.07,172.79,Isles Sunset Lodge
23,Gondanglegi,ID,76.01,overcast clouds,-7.75,112.01,Gg. Munasir Homestay
24,Isangel,VU,77.31,clear sky,-19.55,169.27,Volcano Sea View Tree House
33,Coahuayana,MX,86.0,scattered clouds,18.73,-103.68,Hotel Los Arcos
53,Mahibadhoo,MV,82.06,overcast clouds,3.78,72.97,Omadhoo Inn
55,Sabang,ID,82.24,overcast clouds,5.89,95.32,Hotel Citra
58,Atuona,PF,78.93,clear sky,-9.8,-139.03,Villa Enata
60,Lamu,KE,80.6,few clouds,-2.27,40.9,Lamu House
61,Hithadhoo,MV,82.99,scattered clouds,-0.6,73.08,Scoop Guest House
65,Puerto Ayora,EC,78.8,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
75,Georgetown,MY,77.0,light rain,5.41,100.34,Cititel Penang
80,Carutapera,BR,81.25,moderate rain,-1.2,-46.02,Lidera
92,My Tho,VN,77.0,scattered clouds,10.35,106.35,Sông Tiền Annex Hotel
93,Avarua,CK,77.0,light rain,-21.21,-159.78,Paradise Inn
94,Biak,ID,76.95,overcast clouds,-0.91,122.88,Kost Ariz
95,Chapadinha,BR,85.3,overcast clouds,-3.74,-43.36,Chapadinhense Hotel
106,Daru,PG,78.44,scattered clouds,-9.08,143.21,New century hotel
114,Namatanai,PG,80.51,moderate rain,-3.67,152.43,Namatanai Hotel
117,Praia,CV,82.4,clear sky,14.92,-23.51,LT Aparthotel
124,Angoche,MZ,77.58,overcast clouds,-16.23,39.91,Guest House HESADA
126,Punuare,HN,75.65,overcast clouds,14.73,-85.97,
127,Padang,ID,78.3,heavy intensity rain,-0.95,100.35,Mercure Padang
130,Salalah,OM,77.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
140,Nouadhibou,MR,75.2,overcast clouds,20.93,-17.03,El Medina
146,Samarai,PG,81.07,broken clouds,-10.62,150.67,Nuli Sapi
147,Victoria,HK,75.0,overcast clouds,22.29,114.16,Mini Hotel Central
148,Adrar,MR,89.96,scattered clouds,20.5,-10.07,
149,Luanda,AO,77.0,broken clouds,-8.84,13.23,EPIC SANA Luanda
151,Sao Filipe,CV,83.21,overcast clouds,14.9,-24.5,Tortuga B&B
153,Puerto Carreno,CO,85.48,broken clouds,6.19,-67.49,Casa Hotel Victoria
156,Lorengau,PG,83.01,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
161,Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
165,Le Moule,GP,82.4,broken clouds,16.33,-61.35,Lakaz Hananou
171,Duku,NG,79.57,broken clouds,11.24,4.91,
172,Doba,TD,76.62,few clouds,8.65,16.85,Restaurant Auberge La Pétrolière
173,Contramaestre,CU,86.0,light rain,20.3,-76.24,Hotel Caribeño
178,Hilo,US,84.2,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
181,Kapaa,US,84.0,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
183,Morondava,MG,76.08,clear sky,-20.28,44.28,La Case Bambou
184,Sharjah,AE,84.2,clear sky,25.36,55.4,Swiss Belhotel Sharjah
190,Maceio,BR,80.6,clear sky,-9.67,-35.74,Mercure Maceio Pajucara Hotel
192,Alofi,NU,75.2,light rain,-19.06,-169.92,Taloa Heights
194,Muisne,EC,84.2,scattered clouds,0.6,-80.03,Quinta Samay
196,Tarata,BO,87.8,scattered clouds,-17.62,-66.02,TARA TARA Centro Alternativo Hosting
197,Port-Gentil,GA,80.6,scattered clouds,-0.72,8.78,Fengshui Residence
198,Douentza,ML,84.16,clear sky,15.0,-2.95,Ogomono Doumbo
199,Sucua,EC,80.6,scattered clouds,-2.47,-78.17,Hotel Barza
202,Mersing,MY,77.0,light rain,2.43,103.84,Timotel Hotel
204,Portobelo,PA,84.2,scattered clouds,9.55,-79.65,Scuba Portobelo
207,Luganville,VU,80.6,scattered clouds,-15.53,167.17,The Espiritu Hotel
